time	gre.u	gre.y	greHys.u	greHys.y
0.000	-2.0000	0	-2.0000	0
0.100	-2.0000	0	-2.0000	0
0.200	-2.0000	0	-2.0000	0
0.300	-2.0000	0	-2.0000	0
0.400	-2.0000	0	-2.0000	0
0.500	-2.0000	0	-2.0000	0
0.600	-2.0000	0	-2.0000	0
0.700	-2.0000	0	-2.0000	0
0.800	-2.0000	0	-2.0000	0
0.900	-2.0000	0	-2.0000	0
1.000	-2.0000	0	-2.0000	0
1.100	-1.4977	0	-1.4977	0
1.200	-0.9973	0	-0.9973	0
1.300	-0.5009	0	-0.5009	0
1.400	-0.0105	0	-0.0105	0
1.500	0.4721	0	0.4721	0
1.600	0.9450	0	0.9450	0
1.700	1.4062	0	1.4062	0
1.800	1.8540	0	1.8540	0
1.900	2.2866	1	2.2866	1
2.000	2.7023	1	2.7023	1
2.100	3.0994	1	3.0994	1
2.200	3.4764	1	3.4764	1
2.300	3.8317	1	3.8317	1
2.400	4.1641	1	4.1641	1
2.500	4.4721	1	4.4721	1
2.600	4.7546	1	4.7546	1
2.700	5.0105	1	5.0105	1
2.800	5.2386	1	5.2386	1
2.900	5.4382	1	5.4382	1
3.000	5.6085	1	5.6085	1
3.100	5.7487	1	5.7487	1
3.200	5.8583	1	5.8583	1
3.300	5.9369	1	5.9369	1
3.400	5.9842	1	5.9842	1
3.500	6.0000	1	6.0000	1
3.600	5.9842	1	5.9842	1
3.700	5.9369	1	5.9369	1
3.800	5.8583	1	5.8583	1
3.900	5.7487	1	5.7487	1
4.000	5.6085	1	5.6085	1
4.100	5.4382	1	5.4382	1
4.200	5.2386	1	5.2386	1
4.300	5.0105	1	5.0105	1
4.400	4.7546	1	4.7546	1
4.500	4.4721	1	4.4721	1
4.600	4.1641	1	4.1641	1
4.700	3.8317	1	3.8317	1
4.800	3.4764	1	3.4764	1
4.900	3.0994	1	3.0994	1
5.000	2.7023	1	2.7023	1
5.100	2.2866	1	2.2866	1
5.200	1.8540	0	1.8540	1
5.300	1.4062	0	1.4062	1
5.400	0.9450	0	0.9450	0
5.500	0.4721	0	0.4721	0
5.600	-0.0105	0	-0.0105	0
5.700	-0.5009	0	-0.5009	0
5.800	-0.9973	0	-0.9973	0
5.900	-1.4977	0	-1.4977	0
6.000	-2.0000	0	-2.0000	0
6.100	-2.5023	0	-2.5023	0
6.200	-3.0027	0	-3.0027	0
6.300	-3.4991	0	-3.4991	0
6.400	-3.9895	0	-3.9895	0
6.500	-4.4721	0	-4.4721	0
6.600	-4.9450	0	-4.9450	0
6.700	-5.4062	0	-5.4062	0
6.800	-5.8540	0	-5.8540	0
6.900	-6.2866	0	-6.2866	0
7.000	-6.7023	0	-6.7023	0
7.100	-7.0994	0	-7.0994	0
7.200	-7.4764	0	-7.4764	0
7.300	-7.8317	0	-7.8317	0
7.400	-8.1641	0	-8.1641	0
7.500	-8.4721	0	-8.4721	0
7.600	-8.7546	0	-8.7546	0
7.700	-9.0105	0	-9.0105	0
7.800	-9.2386	0	-9.2386	0
7.900	-9.4382	0	-9.4382	0
8.000	-9.6085	0	-9.6085	0
8.100	-9.7487	0	-9.7487	0
8.200	-9.8583	0	-9.8583	0
8.300	-9.9369	0	-9.9369	0
8.400	-9.9842	0	-9.9842	0
8.500	-10.0000	0	-10.0000	0
8.600	-9.9842	0	-9.9842	0
8.700	-9.9369	0	-9.9369	0
8.800	-9.8583	0	-9.8583	0
8.900	-9.7487	0	-9.7487	0
9.000	-9.6085	0	-9.6085	0
9.100	-9.4382	0	-9.4382	0
9.200	-9.2386	0	-9.2386	0
9.300	-9.0105	0	-9.0105	0
9.400	-8.7546	0	-8.7546	0
9.500	-8.4721	0	-8.4721	0
9.600	-8.1641	0	-8.1641	0
9.700	-7.8317	0	-7.8317	0
9.800	-7.4764	0	-7.4764	0
9.900	-7.0994	0	-7.0994	0
10.000	-6.7023	0	-6.7023	0
