time	falCleTruIni.u	falCleTruIni.clr	falCleTruIni.y	falCleFalIni.u	falCleFalIni.clr	falCleFalIni.y	truCleTruIni.u	truCleTruIni.clr	truCleTruIni.y	truCleFalIni.u	truCleFalIni.clr	truCleFalIni.y	swiCleInp.u	swiCleInp.clr	swiCleInp.y	swiCleInp1.u	swiCleInp1.clr	swiCleInp1.y
0.000	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1
0.100	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1
0.200	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1
0.300	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1
0.400	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1
0.500	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1
0.600	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1
0.700	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1
0.800	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1
0.900	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1
1.000	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
1.100	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
1.200	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
1.300	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
1.400	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
1.500	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
1.600	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
1.700	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
1.800	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
1.900	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
2.000	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
2.100	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
2.200	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
2.300	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
2.400	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
2.500	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
2.600	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
2.700	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
2.800	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
2.900	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
3.000	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
3.100	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
3.200	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
3.300	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
3.400	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
3.500	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
3.600	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
3.700	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
3.800	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
3.900	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
4.000	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0
4.100	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0
4.200	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0
4.300	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0
4.400	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0
4.500	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0
4.600	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0
4.700	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0
4.800	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0
4.900	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0
5.000	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0
5.100	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0
5.200	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0
5.300	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0
5.400	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0
5.500	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0
5.600	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0
5.700	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0
5.800	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0
5.900	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0
6.000	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0
6.100	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
6.200	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
6.300	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
6.400	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
6.500	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
6.600	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
6.700	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
6.800	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
6.900	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
7.000	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
7.100	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
7.200	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
7.300	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
7.400	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
7.500	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
7.600	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
7.700	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
7.800	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
7.900	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
8.000	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1
8.100	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
8.200	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
8.300	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
8.400	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
8.500	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
8.600	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
8.700	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
8.800	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
