time	edge1.u	edge1.y	triggeredSampler.u	triggeredSampler.trigger	triggeredSampler.y
0.000	1	1	0.0000	1	0.0000
0.050	1	0	0.2000	0	0.0000
0.100	1	0	0.4000	0	0.0000
0.150	1	0	0.6000	0	0.0000
0.200	1	0	0.8000	0	0.0000
0.250	1	0	1.0000	0	0.0000
0.300	1	0	1.2000	0	0.0000
0.350	1	0	1.4000	0	0.0000
0.400	1	0	1.6000	0	0.0000
0.450	1	0	1.8000	0	0.0000
0.500	0	0	2.0000	0	0.0000
0.550	0	0	2.2000	0	0.0000
0.600	0	0	2.4000	0	0.0000
0.650	0	0	2.6000	0	0.0000
0.700	0	0	2.8000	0	0.0000
0.750	0	0	3.0000	0	0.0000
0.800	0	0	3.2000	0	0.0000
0.850	0	0	3.4000	0	0.0000
0.900	0	0	3.6000	0	0.0000
0.950	0	0	3.8000	0	0.0000
1.000	1	1	4.0000	1	4.0000
1.050	1	0	4.2000	0	4.0000
1.100	1	0	4.4000	0	4.0000
1.150	1	0	4.6000	0	4.0000
1.200	1	0	4.8000	0	4.0000
1.250	1	0	5.0000	0	4.0000
1.300	1	0	5.2000	0	4.0000
1.350	1	0	5.4000	0	4.0000
1.400	1	0	5.6000	0	4.0000
1.450	1	0	5.8000	0	4.0000
1.500	0	0	6.0000	0	4.0000
1.550	0	0	6.2000	0	4.0000
1.600	0	0	6.4000	0	4.0000
1.650	0	0	6.6000	0	4.0000
1.700	0	0	6.8000	0	4.0000
1.750	0	0	7.0000	0	4.0000
1.800	0	0	7.2000	0	4.0000
1.850	0	0	7.4000	0	4.0000
1.900	0	0	7.6000	0	4.0000
1.950	0	0	7.8000	0	4.0000
2.000	1	1	8.0000	1	8.0000
2.050	1	0	8.2000	0	8.0000
2.100	1	0	8.4000	0	8.0000
2.150	1	0	8.6000	0	8.0000
2.200	1	0	8.8000	0	8.0000
2.250	1	0	9.0000	0	8.0000
2.300	1	0	9.2000	0	8.0000
2.350	1	0	9.4000	0	8.0000
2.400	1	0	9.6000	0	8.0000
2.450	1	0	9.8000	0	8.0000
2.500	1	0	10.0000	0	8.0000
2.550	0	0	10.2000	0	8.0000
2.600	0	0	10.4000	0	8.0000
2.650	0	0	10.6000	0	8.0000
2.700	0	0	10.8000	0	8.0000
2.750	0	0	11.0000	0	8.0000
2.800	0	0	11.2000	0	8.0000
2.850	0	0	11.4000	0	8.0000
2.900	0	0	11.6000	0	8.0000
2.950	0	0	11.8000	0	8.0000
3.000	0	0	12.0000	0	8.0000
3.050	1	1	12.2000	1	12.2000
3.100	1	0	12.4000	0	12.2000
3.150	1	0	12.6000	0	12.2000
3.200	1	0	12.8000	0	12.2000
3.250	1	0	13.0000	0	12.2000
3.300	1	0	13.2000	0	12.2000
3.350	1	0	13.4000	0	12.2000
3.400	1	0	13.6000	0	12.2000
3.450	1	0	13.8000	0	12.2000
3.500	1	0	14.0000	0	12.2000
3.550	0	0	14.2000	0	12.2000
3.600	0	0	14.4000	0	12.2000
3.650	0	0	14.6000	0	12.2000
3.700	0	0	14.8000	0	12.2000
3.750	0	0	15.0000	0	12.2000
3.800	0	0	15.2000	0	12.2000
3.850	0	0	15.4000	0	12.2000
3.900	0	0	15.6000	0	12.2000
3.950	0	0	15.8000	0	12.2000
4.000	0	0	16.0000	0	12.2000
4.050	1	1	16.2000	1	16.2000
4.100	1	0	16.4000	0	16.2000
4.150	1	0	16.6000	0	16.2000
4.200	1	0	16.8000	0	16.2000
4.250	1	0	17.0000	0	16.2000
4.300	1	0	17.2000	0	16.2000
4.350	1	0	17.4000	0	16.2000
4.400	1	0	17.6000	0	16.2000
4.450	1	0	17.8000	0	16.2000
4.500	1	0	18.0000	0	16.2000
4.550	0	0	18.2000	0	16.2000
4.600	0	0	18.4000	0	16.2000
4.650	0	0	18.6000	0	16.2000
4.700	0	0	18.8000	0	16.2000
4.750	0	0	19.0000	0	16.2000
4.800	0	0	19.2000	0	16.2000
4.850	0	0	19.4000	0	16.2000
4.900	0	0	19.6000	0	16.2000
4.950	0	0	19.8000	0	16.2000
5.000	0	0	20.0000	0	16.2000
